,date_time,wind_speed,wind_dir
0,2021-07-01 00:00,8,255
1,2021-07-01 03:00,12,210
2,2021-07-01 06:00,14,200
3,2021-07-01 09:00,12,165
4,2021-07-01 12:00,17,225
5,2021-07-01 15:00,12,175
6,2021-07-01 18:00,5,215
7,2021-07-01 21:00,9,280
8,2021-07-02 00:00,5,250
9,2021-07-02 03:00,9,225
10,2021-07-02 06:00,12,210
11,2021-07-02 09:00,9,180
12,2021-07-02 12:00,16,195
13,2021-07-02 15:00,18,195
14,2021-07-02 18:00,12,220
15,2021-07-02 21:00,10,285
16,2021-07-03 00:00,10,280
17,2021-07-03 03:00,14,270
18,2021-07-03 06:00,9,240
19,2021-07-03 09:00,8,200
20,2021-07-03 12:00,17,230
21,2021-07-03 15:00,17,230
22,2021-07-03 18:00,17,230
23,2021-07-03 21:00,17,230
24,2021-07-04 00:00,17,230
25,2021-07-04 03:00,17,230
26,2021-07-04 06:00,17,230
27,2021-07-04 09:00,17,230
28,2021-07-04 12:00,17,230
29,2021-07-04 15:00,17,230
30,2021-07-04 18:00,17,230
31,2021-07-04 21:00,17,230
32,2021-07-05 00:00,17,230
33,2021-07-05 03:00,17,230
34,2021-07-05 06:00,17,230
35,2021-07-05 09:00,17,230
36,2021-07-05 12:00,18,210
37,2021-07-05 15:00,18,185
38,2021-07-05 18:00,14,200
39,2021-07-05 21:00,6,250
40,2021-07-06 00:00,8,250
41,2021-07-06 03:00,13,255
42,2021-07-06 06:00,12,225
43,2021-07-06 09:00,9,170
44,2021-07-06 12:00,13,220
45,2021-07-06 15:00,16,225
46,2021-07-06 18:00,13,205
47,2021-07-06 21:00,11,215
48,2021-07-07 00:00,10,240
49,2021-07-07 03:00,10,240
50,2021-07-07 06:00,15,230
51,2021-07-07 09:00,16,205
52,2021-07-07 12:00,24,220
53,2021-07-07 15:00,11,240
54,2021-07-07 18:00,7,240
55,2021-07-07 21:00,11,240
56,2021-07-08 00:00,11,250
57,2021-07-08 03:00,14,255
58,2021-07-08 06:00,15,225
59,2021-07-08 09:00,17,200
60,2021-07-08 12:00,14,215
61,2021-07-08 15:00,13,275
62,2021-07-08 18:00,10,275
63,2021-07-08 21:00,6,275
64,2021-07-09 00:00,6,275
65,2021-07-09 03:00,9,260
66,2021-07-09 06:00,13,215
67,2021-07-09 09:00,16,150
68,2021-07-09 12:00,12,150
69,2021-07-09 15:00,10,160
70,2021-07-09 18:00,7,250
71,2021-07-09 21:00,7,300
72,2021-07-10 00:00,5,315
73,2021-07-10 03:00,7,70
74,2021-07-10 06:00,6,170
75,2021-07-10 09:00,11,175
76,2021-07-10 12:00,17,165
77,2021-07-10 15:00,22,170
78,2021-07-10 18:00,15,165
79,2021-07-10 21:00,13,170
80,2021-07-11 00:00,14,165
81,2021-07-11 03:00,12,190
82,2021-07-11 06:00,17,195
83,2021-07-11 09:00,14,185
84,2021-07-11 12:00,15,160
85,2021-07-11 15:00,13,140
86,2021-07-11 18:00,12,165
87,2021-07-11 21:00,12,190
88,2021-07-12 00:00,7,190
89,2021-07-12 03:00,9,180
90,2021-07-12 06:00,11,180
91,2021-07-12 09:00,14,165
92,2021-07-12 12:00,10,175
93,2021-07-12 15:00,7,185
94,2021-07-12 18:00,7,150
95,2021-07-12 21:00,4,185
96,2021-07-13 00:00,2,140
97,2021-07-13 03:00,5,180
98,2021-07-13 06:00,7,195
99,2021-07-13 09:00,7,180
100,2021-07-13 12:00,11,170
101,2021-07-13 15:00,14,175
102,2021-07-13 18:00,12,180
103,2021-07-13 21:00,9,160
104,2021-07-14 00:00,6,195
105,2021-07-14 03:00,6,250
106,2021-07-14 06:00,6,225
107,2021-07-14 09:00,4,125
108,2021-07-14 12:00,13,85
109,2021-07-14 15:00,12,155
110,2021-07-14 18:00,9,205
111,2021-07-14 21:00,7,225
112,2021-07-15 00:00,5,245
113,2021-07-15 03:00,11,165
114,2021-07-15 06:00,14,180
115,2021-07-15 09:00,14,185
116,2021-07-15 12:00,18,195
117,2021-07-15 15:00,2,320
118,2021-07-15 18:00,3,45
119,2021-07-15 21:00,2,10
120,2021-07-16 00:00,3,165
121,2021-07-16 03:00,3,235
122,2021-07-16 06:00,9,190
123,2021-07-16 09:00,10,185
124,2021-07-16 12:00,11,175
125,2021-07-16 15:00,12,190
126,2021-07-16 18:00,7,220
127,2021-07-16 21:00,7,260
128,2021-07-17 00:00,7,240
129,2021-07-17 03:00,12,225
130,2021-07-17 06:00,13,210
131,2021-07-17 09:00,13,215
