,date_time,wind_speed,wind_dir
0,2021-07-01 00:00,1,185
1,2021-07-01 03:00,3,205
2,2021-07-01 06:00,3,235
3,2021-07-01 09:00,6,245
4,2021-07-01 12:00,6,250
5,2021-07-01 15:00,5,235
6,2021-07-01 18:00,5,195
7,2021-07-01 21:00,2,165
8,2021-07-02 00:00,2,185
9,2021-07-02 03:00,5,180
10,2021-07-02 06:00,5,225
11,2021-07-02 09:00,9,240
12,2021-07-02 12:00,6,250
13,2021-07-02 15:00,5,240
14,2021-07-02 18:00,3,240
15,2021-07-02 21:00,2,255
16,2021-07-03 00:00,1,265
17,2021-07-03 03:00,4,190
18,2021-07-03 06:00,7,170
19,2021-07-03 09:00,8,215
20,2021-07-03 12:00,3,310
21,2021-07-03 15:00,2,300
22,2021-07-03 18:00,2,265
23,2021-07-03 21:00,1,250
24,2021-07-04 00:00,2,260
25,2021-07-04 03:00,2,240
26,2021-07-04 06:00,2,175
27,2021-07-04 09:00,7,260
28,2021-07-04 12:00,5,285
29,2021-07-04 15:00,3,275
30,2021-07-04 18:00,2,290
31,2021-07-04 21:00,2,290
32,2021-07-05 00:00,1,295
33,2021-07-05 03:00,2,235
34,2021-07-05 06:00,3,115
35,2021-07-05 09:00,6,255
36,2021-07-05 12:00,3,250
37,2021-07-05 15:00,2,230
38,2021-07-05 18:00,1,295
39,2021-07-05 21:00,0,165
40,2021-07-06 00:00,1,200
41,2021-07-06 03:00,3,180
42,2021-07-06 06:00,3,135
43,2021-07-06 09:00,5,0
44,2021-07-06 12:00,3,335
45,2021-07-06 15:00,3,310
46,2021-07-06 18:00,3,290
47,2021-07-06 21:00,2,340
48,2021-07-07 00:00,2,320
49,2021-07-07 03:00,1,340
50,2021-07-07 06:00,4,155
51,2021-07-07 09:00,5,185
52,2021-07-07 12:00,2,140
53,2021-07-07 15:00,1,335
54,2021-07-07 18:00,1,335
55,2021-07-07 21:00,1,240
56,2021-07-08 00:00,2,245
57,2021-07-08 03:00,4,185
58,2021-07-08 06:00,4,140
59,2021-07-08 09:00,1,195
60,2021-07-08 12:00,1,320
61,2021-07-08 15:00,1,205
62,2021-07-08 18:00,1,240
63,2021-07-08 21:00,1,100
64,2021-07-09 00:00,1,135
65,2021-07-09 03:00,2,130
66,2021-07-09 06:00,2,145
67,2021-07-09 09:00,5,100
68,2021-07-09 12:00,2,95
69,2021-07-09 15:00,1,25
70,2021-07-09 18:00,3,15
