,date_time,wind_speed,wind_dir
0,2021-07-01 00:00,8,175
1,2021-07-01 03:00,16,205
2,2021-07-01 06:00,17,215
3,2021-07-01 09:00,17,215
4,2021-07-01 12:00,14,200
5,2021-07-01 15:00,6,205
6,2021-07-01 18:00,7,175
7,2021-07-01 21:00,7,180
8,2021-07-02 00:00,7,180
9,2021-07-02 03:00,15,215
10,2021-07-02 06:00,15,215
11,2021-07-02 09:00,12,220
12,2021-07-02 12:00,12,220
13,2021-07-02 15:00,9,210
14,2021-07-02 18:00,7,195
15,2021-07-02 21:00,6,170
16,2021-07-03 00:00,6,190
17,2021-07-03 03:00,9,245
18,2021-07-03 06:00,11,280
19,2021-07-03 09:00,9,305
20,2021-07-03 12:00,1,25
21,2021-07-03 15:00,1,160
22,2021-07-03 18:00,4,175
23,2021-07-03 21:00,6,180
24,2021-07-04 00:00,5,185
25,2021-07-04 03:00,9,225
26,2021-07-04 06:00,9,225
27,2021-07-04 09:00,10,255
28,2021-07-04 12:00,3,210
29,2021-07-04 15:00,10,190
30,2021-07-04 18:00,10,190
31,2021-07-04 21:00,6,180
32,2021-07-05 00:00,5,190
33,2021-07-05 03:00,7,235
34,2021-07-05 06:00,5,225
35,2021-07-05 09:00,6,185
36,2021-07-05 12:00,7,145
37,2021-07-05 15:00,10,175
38,2021-07-05 18:00,8,160
39,2021-07-05 21:00,7,160
40,2021-07-06 00:00,7,160
41,2021-07-06 03:00,14,200
42,2021-07-06 06:00,8,220
43,2021-07-06 09:00,4,260
44,2021-07-06 12:00,8,165
45,2021-07-06 15:00,12,180
46,2021-07-06 18:00,7,180
47,2021-07-06 21:00,8,175
48,2021-07-07 00:00,7,185
49,2021-07-07 03:00,12,220
50,2021-07-07 06:00,12,255
51,2021-07-07 09:00,8,235
52,2021-07-07 12:00,9,175
53,2021-07-07 15:00,16,180
54,2021-07-07 18:00,13,170
55,2021-07-07 21:00,5,150
56,2021-07-08 00:00,5,150
57,2021-07-08 03:00,6,200
58,2021-07-08 06:00,5,235
59,2021-07-08 09:00,3,245
60,2021-07-08 12:00,8,170
61,2021-07-08 15:00,11,185
62,2021-07-08 18:00,8,200
63,2021-07-08 21:00,3,180
64,2021-07-09 00:00,3,180
65,2021-07-09 03:00,8,200
66,2021-07-09 06:00,9,180
67,2021-07-09 09:00,12,160
68,2021-07-09 12:00,12,160
69,2021-07-09 15:00,7,180
70,2021-07-09 18:00,4,160
71,2021-07-09 21:00,2,80
72,2021-07-10 00:00,6,75
73,2021-07-10 03:00,6,135
74,2021-07-10 06:00,13,125
75,2021-07-10 09:00,19,150
76,2021-07-10 12:00,12,150
77,2021-07-10 15:00,13,145
78,2021-07-10 18:00,10,150
79,2021-07-10 21:00,9,145
80,2021-07-11 00:00,9,140
81,2021-07-11 03:00,14,155
82,2021-07-11 06:00,16,170
83,2021-07-11 09:00,17,175
84,2021-07-11 12:00,10,160
85,2021-07-11 15:00,8,160
86,2021-07-11 18:00,6,165
87,2021-07-11 21:00,6,150
88,2021-07-12 00:00,6,135
89,2021-07-12 03:00,10,175
90,2021-07-12 06:00,11,170
91,2021-07-12 09:00,10,165
92,2021-07-12 12:00,9,150
93,2021-07-12 15:00,6,145
94,2021-07-12 18:00,5,165
95,2021-07-12 21:00,4,165
96,2021-07-13 00:00,5,165
97,2021-07-13 03:00,9,195
98,2021-07-13 06:00,10,240
99,2021-07-13 09:00,6,255
100,2021-07-13 12:00,4,130
101,2021-07-13 15:00,7,135
102,2021-07-13 18:00,6,165
103,2021-07-13 21:00,6,155
104,2021-07-14 00:00,6,155
105,2021-07-14 03:00,8,210
