,date_time,wind_speed,wind_dir
0,2021-07-01 00:00,6,205
1,2021-07-01 03:00,8,235
2,2021-07-01 06:00,7,235
3,2021-07-01 09:00,0,85
4,2021-07-01 12:00,2,250
5,2021-07-01 15:00,4,230
6,2021-07-01 18:00,5,215
7,2021-07-01 21:00,4,220
8,2021-07-02 00:00,4,205
9,2021-07-02 03:00,4,205
10,2021-07-02 06:00,7,220
11,2021-07-02 09:00,7,220
12,2021-07-02 12:00,2,35
13,2021-07-02 15:00,2,35
14,2021-07-02 18:00,5,255
15,2021-07-02 21:00,6,235
16,2021-07-03 00:00,6,235
17,2021-07-03 03:00,6,235
18,2021-07-03 06:00,4,270
19,2021-07-03 09:00,4,270
20,2021-07-03 12:00,4,270
21,2021-07-03 15:00,2,265
22,2021-07-03 18:00,5,235
23,2021-07-03 21:00,7,220
24,2021-07-04 00:00,7,220
25,2021-07-04 03:00,9,255
26,2021-07-04 06:00,9,235
27,2021-07-04 09:00,9,245
28,2021-07-04 12:00,9,245
29,2021-07-04 15:00,6,250
30,2021-07-04 18:00,8,250
31,2021-07-04 21:00,7,230
32,2021-07-05 00:00,6,235
33,2021-07-05 03:00,9,245
34,2021-07-05 06:00,7,240
35,2021-07-05 09:00,11,230
36,2021-07-05 12:00,10,230
37,2021-07-05 15:00,6,215
38,2021-07-05 18:00,7,220
39,2021-07-05 21:00,9,225
40,2021-07-06 00:00,9,215
41,2021-07-06 03:00,16,225
42,2021-07-06 06:00,17,220
43,2021-07-06 09:00,17,220
44,2021-07-06 12:00,17,220
45,2021-07-06 15:00,17,220
46,2021-07-06 18:00,10,225
47,2021-07-06 21:00,10,225
48,2021-07-07 00:00,10,225
49,2021-07-07 03:00,10,225
50,2021-07-07 06:00,10,225
51,2021-07-07 09:00,10,225
52,2021-07-07 12:00,8,265
53,2021-07-07 15:00,8,225
54,2021-07-07 18:00,8,220
55,2021-07-07 21:00,8,220
56,2021-07-08 00:00,8,220
57,2021-07-08 03:00,9,235
58,2021-07-08 06:00,9,235
59,2021-07-08 09:00,9,235
60,2021-07-08 12:00,9,270
61,2021-07-08 15:00,9,270
62,2021-07-08 18:00,9,270
63,2021-07-08 21:00,10,235
64,2021-07-09 00:00,7,225
65,2021-07-09 03:00,7,225
66,2021-07-09 06:00,15,225
67,2021-07-09 09:00,16,235
68,2021-07-09 12:00,12,220
69,2021-07-09 15:00,9,215
70,2021-07-09 18:00,12,220
71,2021-07-09 21:00,11,220
72,2021-07-10 00:00,12,210
73,2021-07-10 03:00,14,220
74,2021-07-10 06:00,15,230
75,2021-07-10 09:00,14,245
76,2021-07-10 12:00,11,230
77,2021-07-10 15:00,10,220
78,2021-07-10 18:00,10,220
79,2021-07-10 21:00,12,210
80,2021-07-11 00:00,8,215
81,2021-07-11 03:00,11,230
82,2021-07-11 06:00,8,225
83,2021-07-11 09:00,5,195
84,2021-07-11 12:00,4,220
85,2021-07-11 15:00,4,220
86,2021-07-11 18:00,10,215
87,2021-07-11 21:00,8,210
88,2021-07-12 00:00,8,210
89,2021-07-12 03:00,9,210
90,2021-07-12 06:00,9,250
91,2021-07-12 09:00,9,300
92,2021-07-12 12:00,5,5
93,2021-07-12 15:00,2,140
94,2021-07-12 18:00,3,215
95,2021-07-12 21:00,4,230
96,2021-07-13 00:00,4,205
97,2021-07-13 03:00,7,245
98,2021-07-13 06:00,7,240
99,2021-07-13 09:00,3,200
100,2021-07-13 12:00,3,275
101,2021-07-13 15:00,3,220
102,2021-07-13 18:00,8,220
103,2021-07-13 21:00,6,230
104,2021-07-14 00:00,7,220
105,2021-07-14 03:00,9,225
106,2021-07-14 06:00,9,225
107,2021-07-14 09:00,5,190
108,2021-07-14 12:00,6,215
109,2021-07-14 15:00,6,215
110,2021-07-14 18:00,6,215
111,2021-07-14 21:00,6,235
112,2021-07-15 00:00,8,225
113,2021-07-15 03:00,8,225
114,2021-07-15 06:00,10,250
115,2021-07-15 09:00,5,250
